카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년12월_계_60~69세,"48,637","3,110","4,756","3,698","6,972","5,705","2,646","3,356","2,427","2,458","2,165","2,834","4,633","3,877"
2021년12월_계_70~79세,"22,196","1,403","2,035","1,643","3,727","1,861","1,182","1,760","1,301","1,177","1,297","1,256","1,994","1,560"
2021년12월_계_80~89세,"8,898",541,768,534,"1,987",630,507,747,610,469,511,395,679,520
2021년12월_계_90~99세,"1,107",72,77,69,214,91,69,96,82,66,48,48,101,74
2021년12월_계_100세 이상,23,2,4,2,2,2,2,2,4,0,1,0,0,2
2021년12월_남_총인구수,"139,795","8,116","12,934","10,142","18,342","20,378","8,349","14,538","5,488","5,974","5,266","8,182","13,007","9,079"
2021년12월_남_연령구간인구수,"139,795","8,116","12,934","10,142","18,342","20,378","8,349","14,538","5,488","5,974","5,266","8,182","13,007","9,079"
2021년12월_남_0~9세,"9,420",429,675,415,"1,003","1,983",633,"1,235",174,217,209,727,"1,115",605
2021년12월_남_10~19세,"11,687",369,890,759,"1,523","2,240",689,"1,975",262,285,327,530,"1,168",670
2021년12월_남_20~29세,"19,066","1,096","1,823","1,605","2,301","2,861","1,307","2,006",736,914,723,874,"1,585","1,235"
2021년12월_남_30~39세,"17,618","1,267","1,694","1,056","1,973","2,502","1,085","1,503",717,881,587,"1,600","1,631","1,122"
2021년12월_남_40~49세,"19,832","1,071","1,778","1,398","2,406","2,973","1,071","2,402",669,772,787,"1,181","2,045","1,279"
2021년12월_남_50~59세,"24,734","1,466","2,397","2,092","3,394","3,688","1,533","2,649",969,"1,043",913,"1,152","2,041","1,397"
2021년12월_남_60~69세,"23,932","1,541","2,395","1,845","3,534","2,989","1,319","1,650","1,134","1,174","1,000","1,360","2,197","1,794"
2021년12월_남_70~79세,"10,211",664,980,752,"1,566",919,528,791,598,524,554,616,961,758
2021년12월_남_80~89세,"3,085",195,291,213,593,210,169,301,210,153,158,138,247,207
2021년12월_남_90~99세,208,17,11,7,49,13,14,26,19,11,8,4,17,12
2021년12월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0
2021년12월_여_총인구수,"143,416","7,980","12,336","9,544","19,617","21,232","8,763","15,210","5,628","6,037","5,499","8,482","13,497","9,591"
2021년12월_여_연령구간인구수,"143,416","7,980","12,336","9,544","19,617","21,232","8,763","15,210","5,628","6,037","5,499","8,482","13,497","9,591"
2021년12월_여_0~9세,"8,920",437,613,384,956,"1,892",565,"1,201",196,198,182,703,"1,055",538
2021년12월_여_10~19세,"10,758",386,785,649,"1,399","2,106",677,"1,782",226,281,293,477,"1,099",598
2021년12월_여_20~29세,"16,600",988,"1,537","1,190","1,985","2,560","1,105","1,773",624,838,631,913,"1,410","1,046"
2021년12월_여_30~39세,"16,060","1,048","1,370",806,"1,718","2,701","1,017","1,643",539,624,474,"1,440","1,614","1,066"
2021년12월_여_40~49세,"19,959",892,"1,559","1,298","2,502","3,437","1,146","2,843",593,669,647,"1,103","2,026","1,244"
2021년12월_여_50~59세,"27,696","1,519","2,509","2,088","3,897","4,378","1,878","2,775",987,"1,119",970,"1,431","2,308","1,837"
2021년12월_여_60~69세,"24,705","1,569","2,361","1,853","3,438","2,716","1,327","1,706","1,293","1,284","1,165","1,474","2,436","2,083"
2021년12월_여_70~79세,"11,985",739,"1,055",891,"2,161",942,654,969,703,653,743,640,"1,033",802
2021년12월_여_80~89세,"5,813",346,477,321,"1,394",420,338,446,400,316,353,257,432,313
2021년12월_여_90~99세,899,55,66,62,165,78,55,70,63,55,40,44,84,62
2021년12월_여_100세 이상,21,1,4,2,2,2,1,2,4,0,1,0,0,2
