카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년10월_여_70~79세,"10,121",380,"1,495",298,340,512,609,457,361,287,388,856,361,524,"1,030",678,622,923
2021년10월_여_80~89세,"6,555",322,851,233,207,384,435,366,337,254,322,543,194,291,551,364,323,578
2021년10월_여_90~99세,"1,083",53,153,42,44,72,82,65,54,39,42,75,44,46,84,65,50,73
2021년10월_여_100세 이상,45,3,5,5,0,1,2,1,0,1,2,4,3,3,6,2,5,2
2021년11월_계_총인구수,"324,552","6,454","81,678","4,211","24,792","20,358","22,605","5,517","6,299","3,058","4,419","19,698","9,363","10,793","36,459","18,572","21,417","28,859"
2021년11월_계_연령구간인구수,"324,552","6,454","81,678","4,211","24,792","20,358","22,605","5,517","6,299","3,058","4,419","19,698","9,363","10,793","36,459","18,572","21,417","28,859"
2021년11월_계_0~9세,"31,739",322,"9,737",172,"3,208","2,438","2,548",135,270,60,104,"1,393",865,404,"3,621","1,418","2,003","3,041"
2021년11월_계_10~19세,"35,453",486,"9,798",361,"3,468","1,840","1,528",260,386,107,169,"2,018",718,787,"4,892","2,347","2,728","3,560"
2021년11월_계_20~29세,"37,529",553,"10,277",290,"3,178","2,118","2,396",413,517,168,328,"2,429","1,123","1,690","4,424","2,120","2,704","2,801"
2021년11월_계_30~39세,"48,485",581,"15,048",270,"4,427","3,508","4,800",409,582,179,300,"2,056","1,676","1,208","4,737","2,013","2,760","3,931"
2021년11월_계_40~49세,"58,066",865,"15,560",525,"5,438","3,557","3,788",531,901,237,381,"3,390","1,513","1,453","6,969","3,380","4,006","5,572"
2021년11월_계_50~59세,"48,364","1,136","10,863",753,"2,813","2,865","3,121",967,"1,190",506,823,"3,303","1,307","2,020","5,503","3,240","3,470","4,484"
2021년11월_계_60~69세,"34,955","1,215","6,162",849,"1,263","2,364","2,510","1,296","1,204",773,"1,035","2,621","1,150","1,735","3,531","2,215","2,068","2,964"
2021년11월_계_70~79세,"18,365",723,"2,744",578,609,"1,004","1,159",843,662,566,709,"1,532",658,965,"1,798","1,194","1,070","1,551"
2021년11월_계_80~89세,"10,156",505,"1,296",358,337,576,645,579,513,409,514,847,299,463,867,562,535,851
2021년11월_계_90~99세,"1,394",65,188,54,50,87,107,82,74,51,53,105,50,64,113,82,68,101
2021년11월_계_100세 이상,46,3,5,1,1,1,3,2,0,2,3,4,4,4,4,1,5,3
2021년11월_남_총인구수,"168,792","3,400","41,890","2,157","13,419","11,044","12,755","2,918","3,506","1,572","2,262","10,305","4,901","5,624","18,232","9,462","11,004","14,341"
2021년11월_남_연령구간인구수,"168,792","3,400","41,890","2,157","13,419","11,044","12,755","2,918","3,506","1,572","2,262","10,305","4,901","5,624","18,232","9,462","11,004","14,341"
2021년11월_남_0~9세,"16,297",166,"4,987",90,"1,659","1,206","1,325",67,141,34,46,721,429,194,"1,869",770,"1,084","1,509"
2021년11월_남_10~19세,"18,260",258,"5,066",191,"1,785",966,772,151,208,59,85,"1,014",393,412,"2,439","1,232","1,436","1,793"
2021년11월_남_20~29세,"20,886",337,"5,364",161,"1,843","1,346","1,448",253,332,88,190,"1,419",587,972,"2,347","1,196","1,525","1,478"
2021년11월_남_30~39세,"25,874",354,"7,764",144,"2,314","1,913","2,869",250,376,110,173,"1,121",929,735,"2,369","1,056","1,455","1,942"
2021년11월_남_40~49세,"31,495",506,"8,192",293,"3,080","2,109","2,410",314,573,154,235,"1,825",873,791,"3,560","1,722","2,028","2,830"
2021년11월_남_50~59세,"26,273",625,"5,726",418,"1,690","1,595","1,797",563,724,300,463,"1,830",703,"1,051","2,883","1,692","1,799","2,414"
2021년11월_남_60~69세,"17,569",618,"3,063",440,647,"1,215","1,350",706,652,376,542,"1,374",578,835,"1,650","1,069","1,005","1,449"
2021년11월_남_70~79세,"8,209",336,"1,237",282,263,490,550,384,304,279,324,668,298,439,768,510,445,632
2021년11월_남_80~89세,"3,618",187,454,126,129,188,213,211,180,158,192,306,103,176,315,199,211,270
2021년11월_남_90~99세,302,13,35,12,8,16,20,18,16,13,11,27,8,18,32,16,16,23
2021년11월_남_100세 이상,9,0,2,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1
2021년11월_여_총인구수,"155,760","3,054","39,788","2,054","11,373","9,314","9,850","2,599","2,793","1,486","2,157","9,393","4,462","5,169","18,227","9,110","10,413","14,518"
2021년11월_여_연령구간인구수,"155,760","3,054","39,788","2,054","11,373","9,314","9,850","2,599","2,793","1,486","2,157","9,393","4,462","5,169","18,227","9,110","10,413","14,518"
2021년11월_여_0~9세,"15,442",156,"4,750",82,"1,549","1,232","1,223",68,129,26,58,672,436,210,"1,752",648,919,"1,532"
2021년11월_여_10~19세,"17,193",228,"4,732",170,"1,683",874,756,109,178,48,84,"1,004",325,375,"2,453","1,115","1,292","1,767"
2021년11월_여_20~29세,"16,643",216,"4,913",129,"1,335",772,948,160,185,80,138,"1,010",536,718,"2,077",924,"1,179","1,323"
2021년11월_여_30~39세,"22,611",227,"7,284",126,"2,113","1,595","1,931",159,206,69,127,935,747,473,"2,368",957,"1,305","1,989"
2021년11월_여_40~49세,"26,571",359,"7,368",232,"2,358","1,448","1,378",217,328,83,146,"1,565",640,662,"3,409","1,658","1,978","2,742"
2021년11월_여_50~59세,"22,091",511,"5,137",335,"1,123","1,270","1,324",404,466,206,360,"1,473",604,969,"2,620","1,548","1,671","2,070"
2021년11월_여_60~69세,"17,386",597,"3,099",409,616,"1,149","1,160",590,552,397,493,"1,247",572,900,"1,881","1,146","1,063","1,515"
2021년11월_여_70~79세,"10,156",387,"1,507",296,346,514,609,459,358,287,385,864,360,526,"1,030",684,625,919
2021년11월_여_80~89세,"6,538",318,842,232,208,388,432,368,333,251,322,541,196,287,552,363,324,581
2021년11월_여_90~99세,"1,092",52,153,42,42,71,87,64,58,38,42,78,42,46,81,66,52,78
2021년11월_여_100세 이상,37,3,3,1,0,1,2,1,0,1,2,4,4,3,4,1,5,2
2021년12월_계_총인구수,"324,580","6,459","81,661","4,194","24,910","20,408","22,608","5,525","6,243","3,040","4,439","19,644","9,344","10,746","36,577","18,557","21,442","28,783"
2021년12월_계_연령구간인구수,"324,580","6,459","81,661","4,194","24,910","20,408","22,608","5,525","6,243","3,040","4,439","19,644","9,344","10,746","36,577","18,557","21,442","28,783"
2021년12월_계_0~9세,"31,531",316,"9,685",168,"3,202","2,428","2,535",136,255,60,104,"1,373",858,403,"3,626","1,404","1,972","3,006"
2021년12월_계_10~19세,"35,511",492,"9,811",362,"3,507","1,862","1,538",257,380,103,168,"2,021",715,787,"4,896","2,342","2,724","3,546"
2021년12월_계_20~29세,"37,503",551,"10,239",288,"3,197","2,129","2,363",410,513,167,332,"2,411","1,106","1,683","4,440","2,137","2,737","2,800"
2021년12월_계_30~39세,"48,272",571,"15,049",268,"4,417","3,484","4,773",404,568,173,302,"2,036","1,682","1,190","4,769","1,978","2,720","3,888"
2021년12월_계_40~49세,"58,246",853,"15,606",525,"5,483","3,603","3,827",536,900,236,385,"3,386","1,512","1,432","6,984","3,390","4,022","5,566"
2021년12월_계_50~59세,"48,416","1,146","10,858",747,"2,833","2,855","3,132",973,"1,176",507,825,"3,302","1,293","2,016","5,531","3,241","3,485","4,496"
2021년12월_계_60~69세,"35,069","1,228","6,173",848,"1,273","2,370","2,525","1,306","1,206",772,"1,035","2,632","1,164","1,735","3,526","2,220","2,090","2,966"
2021년12월_계_70~79세,"18,368",726,"2,749",579,608,"1,015","1,153",835,663,560,710,"1,523",655,964,"1,814","1,190","1,072","1,552"
2021년12월_계_80~89세,"10,192",505,"1,294",353,336,569,650,580,506,414,520,851,305,467,872,568,545,857
2021년12월_계_90~99세,"1,429",68,193,55,53,92,109,86,75,48,55,106,50,65,115,86,70,103
2021년12월_계_100세 이상,43,3,4,1,1,1,3,2,1,0,3,3,4,4,4,1,5,3
2021년12월_남_총인구수,"168,881","3,404","41,883","2,147","13,504","11,083","12,766","2,915","3,484","1,560","2,276","10,281","4,887","5,613","18,327","9,447","11,015","14,289"
2021년12월_남_연령구간인구수,"168,881","3,404","41,883","2,147","13,504","11,083","12,766","2,915","3,484","1,560","2,276","10,281","4,887","5,613","18,327","9,447","11,015","14,289"
2021년12월_남_0~9세,"16,200",162,"4,951",85,"1,662","1,209","1,322",66,139,34,46,706,421,196,"1,880",759,"1,071","1,491"
2021년12월_남_10~19세,"18,274",262,"5,067",190,"1,804",977,775,149,204,55,83,"1,017",389,414,"2,439","1,234","1,432","1,783"
2021년12월_남_20~29세,"20,910",332,"5,360",164,"1,857","1,359","1,430",253,327,87,196,"1,411",582,974,"2,362","1,200","1,537","1,479"
2021년12월_남_30~39세,"25,783",351,"7,778",143,"2,312","1,893","2,854",243,370,109,175,"1,108",929,730,"2,391","1,035","1,442","1,920"
2021년12월_남_40~49세,"31,589",499,"8,209",291,"3,101","2,143","2,442",317,573,153,237,"1,828",871,776,"3,572","1,726","2,031","2,820"
2021년12월_남_50~59세,"26,313",629,"5,728",416,"1,710","1,587","1,799",566,722,300,465,"1,830",697,"1,049","2,902","1,691","1,803","2,419"
2021년12월_남_60~69세,"17,629",629,"3,059",440,656,"1,218","1,359",711,650,375,540,"1,380",586,836,"1,651","1,075","1,020","1,444"
2021년12월_남_70~79세,"8,227",339,"1,240",281,266,495,549,380,304,276,327,661,301,438,773,509,451,637
2021년12월_남_80~89세,"3,632",187,452,125,126,185,214,208,179,159,196,310,104,180,323,202,211,271
2021년12월_남_90~99세,316,14,37,12,9,17,21,21,16,12,10,30,7,19,34,16,17,24
2021년12월_남_100세 이상,8,0,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1
2021년12월_여_총인구수,"155,699","3,055","39,778","2,047","11,406","9,325","9,842","2,610","2,759","1,480","2,163","9,363","4,457","5,133","18,250","9,110","10,427","14,494"
2021년12월_여_연령구간인구수,"155,699","3,055","39,778","2,047","11,406","9,325","9,842","2,610","2,759","1,480","2,163","9,363","4,457","5,133","18,250","9,110","10,427","14,494"
2021년12월_여_0~9세,"15,331",154,"4,734",83,"1,540","1,219","1,213",70,116,26,58,667,437,207,"1,746",645,901,"1,515"
2021년12월_여_10~19세,"17,237",230,"4,744",172,"1,703",885,763,108,176,48,85,"1,004",326,373,"2,457","1,108","1,292","1,763"
2021년12월_여_20~29세,"16,593",219,"4,879",124,"1,340",770,933,157,186,80,136,"1,000",524,709,"2,078",937,"1,200","1,321"
2021년12월_여_30~39세,"22,489",220,"7,271",125,"2,105","1,591","1,919",161,198,64,127,928,753,460,"2,378",943,"1,278","1,968"
2021년12월_여_40~49세,"26,657",354,"7,397",234,"2,382","1,460","1,385",219,327,83,148,"1,558",641,656,"3,412","1,664","1,991","2,746"
2021년12월_여_50~59세,"22,103",517,"5,130",331,"1,123","1,268","1,333",407,454,207,360,"1,472",596,967,"2,629","1,550","1,682","2,077"
2021년12월_여_60~69세,"17,440",599,"3,114",408,617,"1,152","1,166",595,556,397,495,"1,252",578,899,"1,875","1,145","1,070","1,522"
2021년12월_여_70~79세,"10,141",387,"1,509",298,342,520,604,455,359,284,383,862,354,526,"1,041",681,621,915
2021년12월_여_80~89세,"6,560",318,842,228,210,384,436,372,327,255,324,541,201,287,549,366,334,586
2021년12월_여_90~99세,"1,113",54,156,43,44,75,88,65,59,36,45,76,43,46,81,70,53,79
2021년12월_여_100세 이상,35,3,2,1,0,1,2,1,1,0,2,3,4,3,4,1,5,2
